FID,PD_ID,Comment,Year,Name,Acres,Hectares,Plague,Manager,Perimeter,Activity,YearAcquir,sdeWildlif,Shape_area,Shape_len
26,5.0, ,2009.0,Andrus - south,0.31853168,0.1289052, ,OSMP,582.05719387,2.0,1977,13875.1854106,13875.1844586,582.057193883
27,2.0, ,2009.0,Andrus - north,0.80069653,0.32403039, ,OSMP,1288.83845464,2.0,1977,34878.1981931,34878.2012427,1288.8384549
28,132.0, ,2009.0,Colorado Open Lands III,1.31680239,0.53289102, ,OSMP,1275.70552371,2.0,1985,57359.6597652,57359.6828102,1275.70552424
29,4.0, ,2009.0,Aweida II,52.10513873,21.08620153, ,OSMP,10725.0220489,2.0,1993,2269690.6147,2269690.76448,10725.0219036
30,73.0,"Split polys from Stepanek, Canino, Cito",2009.0,Minnetrista,1.13072778,0.4575893, ,OSMP,1821.87001438,2.0,1985,49254.3119591,49254.3049646,1821.87003502
31,9.0, ,2009.0,BC Hospital,3.0652235,1.24045194, ,OSMP,3633.14062914,2.0,2002,133520.589468,133520.601452,3633.14074103
32,125.0, ,2009.0,Gebhard,0.63510165,0.25701652, ,OSMP,765.37001223,2.0,1971,27664.9174981,27664.9172427,765.370162622
33,13.0, ,2009.0,BLIP Boulder Warehouse,19.6243837,7.94170632, ,OSMP,10201.9644878,2.0,1973,854834.662337,854834.734774,10201.9644168
34,143.0, ,2009.0,ERTL II - North,7.3417559,2.9711032, ,OSMP,4496.51329972,2.0,1984,319805.603178,319805.607724,4496.51330023
35,41.0, ,2009.0,Gallagher,6.16130676,2.49339238, ,OSMP,4621.37136846,2.0,1997,268385.449166,268385.448778,4621.37136914
36,31.0, ,2009.0,Ditzel,8.13663667,3.29278004, ,OSMP,4854.45706762,2.0,1984,354430.473422,354430.475645,4854.45720015
37,56.0, ,2009.0,Lindsay Mesa Top,7.07004844,2.86114709, ,OSMP,2963.68699074,2.0,1990,307970.090285,307970.078023,2963.68699283
38,62.0, ,2009.0,Klein- Dry Creek,29.32076073,11.86569089, ,OSMP,9231.02036878,2.0,1974,1277207.59415,1277207.22835,9231.02025253
39,115.0, ,2009.0,Waneka / Kelsall,0.09525722,0.03854923, ,OSMP,301.09440864,2.0,1990,4149.38888434,4149.38798249,301.094408659
40,27.0, ,2009.0,Culver,54.66164089,22.12078125, ,OSMP,23136.9745716,2.0,1992,2381051.57115,2381051.55297,23136.9752568
41,144.0, ,2009.0,Marble,2.5041266,1.01338408, ,OSMP,2972.67250613,2.0,1991,109079.467912,109079.318234,2972.67217066
42,42.0, ,2009.0,Gallucci,62.11827785,25.13837517, ,OSMP,12708.6473224,2.0,1968,2705861.38047,2705861.35958,12708.6466624
43,98.0, ,2009.0,Suitts,12.26115711,4.96191424, ,OSMP,4480.65866793,2.0,1991,534093.852808,534093.867328,4480.65867149
44,21.0, ,2009.0,BVR 103 Corp - north,13.06392135,5.2867814, ,OSMP,7716.50379087,2.0,1973,569062.003604,569062.137817,7709.35865107
45,138.0, ,2009.0,Schneider Family,9.93636384,4.02110378, ,OSMP,4371.36748221,2.0,2006,432826.276845,432826.277554,4371.36748262
46,133.0, ,2009.0,Eisenberg,5.45998712,2.20957839, ,OSMP,4079.16936641,2.0,2006,237836.093465,237836.087486,4079.16936649
47,35.0, ,2009.0,East Beech - horseshoe,10.70717251,4.33303898, ,OSMP,4361.76338304,2.0,1988,466402.590649,466402.569044,4361.76338416
48,34.0, ,2009.0,East Beech,1.07519209,0.4351148, ,OSMP,910.56334049,2.0,1988,46835.1903144,46835.1799947,910.563341374
49,122.0, ,2009.0,Waldorf,13.86237759,5.60990518, ,OSMP,8397.77391498,2.0,2002,603842.760011,603842.752497,8397.77468488
50,12.0, ,2009.0,"BLIP, East Beech - south",25.04345733,10.13472761, ,OSMP,11373.8546623,2.0,1973,1090888.60924,1090888.63756,11373.854664
51,43.0, ,2009.0,Gilbert,1.41487844,0.57258099, ,OSMP,1126.46967633,2.0,1973,61631.8413935,61631.8581991,1126.46967656
52,123.0, ,2009.0,Bennett,30.14488043,12.1992003, ,OSMP,24458.9621056,2.0,2007,1313105.7624,1313105.73908,24458.9596025
53,75.0, ,2009.0,NU West,4.88823696,1.97819931, ,OSMP,1879.04984779,2.0,1984,212930.749141,212930.750343,1879.04984813
54,32.0, ,2009.0,Dodd,0.19889668,0.08049063, ,OSMP,514.03326264,2.0,2006,8663.90472222,8663.9047221,514.03326264
55,1.0, ,2009.0,Abbott,0.60843581,0.24622524, ,OSMP,1287.97661225,2.0,2001,26503.2429635,26503.3577255,1287.97661251
56,107.0, ,2009.0,Teller Farms - south,22.29871481,9.02396972, ,OSMP,11901.2623194,2.0,1984,971328.109316,971328.131843,11901.2623225
57,99.0, ,2009.0,Superior Associates Mayhoffer,5.37768454,2.17627172, ,OSMP,2963.67125807,2.0,1993,234251.005286,234251.001391,2963.67273018
58,87.0, ,2009.0,Sams Lane / Van Vleet - east,8.7300045,3.53290748, ,OSMP,4508.07119558,2.0,1978,380277.474713,380277.474789,4508.07120794
59,112.0, ,2009.0,Van Vleet - west,2.23077349,0.902762, ,OSMP,1634.40301443,2.0,1978,97172.1173304,97172.104626,1634.40301756
60,70.0, ,2009.0,McKenzie - south,9.599158,3.88464142, ,OSMP,6694.3194415,2.0,1974,418137.654046,418137.649894,6694.31944357
61,19.0, ,2009.0,BVR 103 Corp - south,5.14800902,2.08332534, ,OSMP,4841.16196443,2.0,1973,224246.315441,224246.375824,4841.16275751
62,60.0, ,2009.0,Johnson - Monarch,3.87674302,1.56886224, ,OSMP,2644.29944996,2.0,1992,168870.210876,168870.250445,2644.29945058
63,37.0, ,2009.0,East Rudd - south,0.07085239,0.02867295, ,OSMP,285.45162706,2.0,1975,3086.31606761,3086.31795244,285.451627188
64,140.0, ,2009.0,Jewel Mountain - south,1.00687331,0.40746717, ,OSMP,2482.49322959,2.0,1999,43859.2290004,43859.2257899,2482.4932298
65,114.0, ,2009.0,Varra - east,13.04395219,5.27870017, ,OSMP,7244.95861408,2.0,1986,568192.29135,568192.284494,7244.95861903
66,36.0, ,2009.0,East Redd - north,5.81972902,2.35516078, ,OSMP,2668.31639554,2.0,1975,253506.377873,253506.382193,2668.3163959
67,120.0, ,2009.0,Yunker - east,0.98428718,0.39832689, ,OSMP,1227.59548527,2.0,1977,42875.2252039,42875.3779421,1227.59549043
68,63.0, ,2009.0,Klein - south,0.39991682,0.1618406, ,OSMP,936.33960754,2.0,1991,17420.321697,17420.3070472,936.339680202
69,88.0, ,2009.0,Schneider - east,9.95127194,4.02713688, ,OSMP,5113.15198904,2.0,2006,433475.666973,433475.671906,5113.15199371
70,105.0, ,2009.0,Teller Farms - north,105.7947886,42.81363197, ,OSMP,26291.5588048,2.0,1984,4608402.51566,4608402.55756,26291.5589382
71,11.0, ,2009.0,Belgrove - south,3.45227108,1.39708454, ,OSMP,1855.39419273,2.0,1980,150380.383713,150380.326689,1855.39208581
72,10.0, ,2009.0,Belgrove - north,12.18017006,4.92913994, ,OSMP,5770.28879235,2.0,1980,530566.092155,530566.085522,5770.28879284
73,61.0, ,2009.0,Johnson - north,3.30016799,1.3355306, ,OSMP,3127.14615396,2.0,2000,143754.777162,143754.742699,3127.14623846
74,54.0, ,2009.0,Jafay,53.68316777,21.72480723, ,OSMP,24723.9879125,2.0,1990,2338429.47636,2338429.43429,24723.9865482
75,59.0, ,2009.0,Johnson - Bldr Res South,13.63276436,5.516984, ,OSMP,10759.9042974,2.0,1992,593840.863929,593840.840203,10759.8989127
76,72.0, ,2009.0,Mesa Sand & Gravel,46.80602001,18.94172427, ,OSMP,27949.4480512,2.0,1985,2038862.08808,2038862.07619,27949.4478074
77,121.0, ,2009.0,IBM - Cottontail Trail,3.22428732,1.30482279, ,OSMP,2928.30191536,2.0,1998,140449.368067,140449.393937,2928.30238933
78,111.0, ,2009.0,Van Vleet - east,18.10596242,7.32722303, ,OSMP,4287.95568967,2.0,1978,788692.573545,788692.568231,4287.95576207
79,137.0, ,2009.0,Van Vleet - northeast,1.67136811,0.67637868, ,OSMP,1333.34026057,2.0,1978,72804.5024232,72804.5034631,1333.34026098
80,139.0, ,2009.0,NIST,6.66268142,2.69629151, ,OSMP,3950.39236525,2.0,1994,290225.504153,290225.241563,3950.38960601
81,145.0,Split polys from Minnetrista,2009.0,"Stepanek, Canino, Cito",5.58990174,2.26215297, ,OSMP,4776.04955436,2.0,1995,243495.176183,243495.145637,4776.04938962
82,30.0, ,2009.0,Johnson/Dawson - south,1.98194435,0.80206442, ,OSMP,1424.99856253,2.0,1992,86333.145622,86333.1506512,1424.99856266
83,29.0, ,2009.0,Johnson/Dawson,13.85046886,5.60508589, ,OSMP,6162.83587736,2.0,1992,603324.031554,603324.010314,6162.83597673
84,110.0, ,2009.0,Valmont Butte - west,2.07039142,0.83785768, ,OSMP,1466.8936615,2.0,2000,90185.8782125,90185.8897037,1466.89340239
85,109.0, ,2009.0,Valmont Butte - east,0.66259222,0.26814156, ,OSMP,1247.44108989,2.0,2000,28862.3858234,28862.4016535,1247.44082824
86,51.0, ,2009.0,IBM,14.76181268,5.97389364, ,OSMP,15959.7418636,2.0,1998,643022.010251,643021.988121,15959.7410276
87,52.0, ,2009.0,IBM CE,2.28486816,0.92465334, ,OSMP,2265.41006634,2.0,1998,99528.4402013,99528.4588668,2265.41006925
88,46.0, ,2009.0,Hartnagle,9.30171907,3.76427216, ,OSMP,6162.51407909,2.0,1997,405181.280186,405181.262014,6162.5140798
89,39.0, ,2009.0,ERTL III - South,2.86570464,1.15970952, ,OSMP,3102.91276031,2.0,1984,124829.597461,124829.594848,3102.91276079
90,28.0, ,2009.0,Damyonovich,44.1246412,17.85660876, ,OSMP,18705.6818289,2.0,1995,1922061.6515,1922061.68246,18705.6823951
91,15.0, ,2009.0,"Axelson, BVR, Lore, Ellison",60.82121025,24.61347053, ,OSMP,41949.6595595,2.0,1990,2649361.38407,2649361.32119,41949.6597978
92,49.0, ,2009.0,Hogan Brothers - north,2.31210047,0.93567386, ,OSMP,1916.15854852,2.0,1986,100714.690939,100714.693579,1916.15854904
93,71.0, ,2009.0,Mesa Reservoir,5.57406647,2.25574467, ,OSMP,3573.90379826,2.0,2000,242805.380634,242805.364424,3573.90379946
94,16.0, ,2009.0,BVR - 103 Corp - L pasture south,28.63383552,11.58770212, ,OSMP,17997.7045842,2.0,1973,1247284.90626,1247284.88595,17997.7054575
95,6.0, ,2010.0,Andrus - southeast,0.60447795,0.24462355, ,OSMP,929.74616727,2.0,1977,26330.9515418,26330.9540629,929.746169732
96,4.0, ,2010.0,Aweida II,61.87809219,25.04117548, ,OSMP,12523.1942236,2.0,1993,2695398.75807,2695398.91432,12523.1933591
97,9.0, ,2010.0,BC Hospital,1.88343394,0.76219867, ,OSMP,1539.37068888,2.0,2002,82042.0485674,82042.0542813,1539.36977817
98,34.0, ,2010.0,East Beech,2.77290935,1.1221566, ,OSMP,2703.62041131,2.0,1988,120787.446744,120787.448261,2703.62032712
99,132.0, ,2010.0,Colorado Open Lands III,1.98488757,0.8032555, ,OSMP,1523.07764452,2.0,1985,86461.3438407,86461.35682,1523.07767018
100,26.0, ,2010.0,Cowels,12.81624002,5.18654833, ,OSMP,5116.35997072,2.0,1991,558273.18514,558273.182338,5116.3601248
101,27.0, ,2010.0,Culver,65.44869463,26.48614702, ,OSMP,16953.3007471,2.0,1992,2850933.71858,2850933.73432,16953.3024783
102,29.0, ,2010.0,Johnson/Dawson,18.04643894,7.30313473, ,OSMP,7264.02395039,2.0,1992,786099.160629,786099.735611,7264.02373561
103,32.0, ,2010.0,Dodd,0.10845096,0.04388855,likely,OSMP,320.83769174,2.0,2006,4724.1059937,4724.10501879,320.837691731
104,38.0, ,2010.0,ERNI,13.42353274,5.43231097, ,OSMP,5569.76893181,2.0,1967,584726.762887,584726.747428,5569.76858665
105,74.0, ,2010.0,Moore,11.82452122,4.78521396, ,OSMP,4369.67365898,2.0,1974,515074.123947,515074.083825,4369.67493731
106,40.0, ,2010.0,Flatirons Vista,1.31892673,0.53375071, ,OSMP,1317.5330556,2.0,1981,57452.2061961,57452.2185261,1317.53305588
107,125.0, ,2010.0,Gebhard,0.70352226,0.28470536, ,OSMP,957.81796191,2.0,1971,30645.3179223,30645.3069199,957.81781024
108,43.0, ,2010.0,Gilbert,0.92443447,0.37410536, ,OSMP,867.99012487,2.0,1973,40268.2005024,40268.2044637,867.990125181
109,121.0, ,2010.0,IBM - Cottontail Trail,3.50846932,1.41982716, ,OSMP,2897.80348372,2.0,1998,152828.346833,152828.312305,2897.80345837
110,56.0, ,2010.0,Lindsay Mesa Top,7.97482395,3.22729675, ,OSMP,3801.44145718,2.0,1990,347381.927365,347381.941931,3801.44156539
111,67.0, ,2010.0,Mann,4.14516081,1.67748707, ,OSMP,2901.47697195,2.0,1973,180562.47078,180562.482795,2901.47699338
112,75.0, ,2010.0,NU West,4.8585315,1.96617794, ,OSMP,2019.86750134,2.0,1984,211636.765457,211636.785533,2019.86737529
113,76.0, ,2010.0,Oasis,44.21943203,17.89496925, ,OSMP,9988.07108041,2.0,2001,1926190.81083,1926190.75445,9988.07037308
114,131.0, ,2010.0,Pearl Pkwy,0.00380562,0.00154008, ,OSMP,150.91561918,2.0,1984,165.77036234,165.772039396,150.915619253
115,81.0, ,2010.0,Reynolds,10.62328043,4.29908906, ,OSMP,3076.66813426,2.0,1977,462748.28148,462748.244469,3076.66639527
116,83.0, ,2010.0,Rudd,25.21752862,10.20517177, ,OSMP,6033.03633602,2.0,1975,1098471.17049,1098471.15299,6033.03624728
117,85.0, ,2010.0,Ryan - north,1.18891851,0.48113825, ,OSMP,966.94672157,2.0,2001,51789.0822814,51789.0830368,966.946722857
118,138.0, ,2010.0,Schneider Family,15.03971173,6.0863554, ,OSMP,6033.67100036,2.0,2006,655127.217229,655127.222233,6033.67115142
119,94.0, ,2010.0,Steele - south,42.45766295,17.1820066, ,OSMP,10967.5368678,2.0,1999,1849448.39513,1849448.40014,10967.537965
120,95.0, ,2010.0,Steinbach,15.40518515,6.23425725, ,OSMP,4875.31077983,2.0,1984,671047.206274,671047.180876,4875.31146269
121,98.0, ,2010.0,Suitts,8.99631386,3.64067905, ,OSMP,4327.93273861,2.0,1991,391877.888386,391877.864074,4327.93272832
122,111.0, ,2010.0,Van Vleet - east,19.26087725,7.79460048, ,OSMP,4480.98060344,2.0,1978,839000.464163,839000.457083,4480.98080627
123,112.0, ,2010.0,Van Vleet - west,2.13627582,0.86452015, ,OSMP,1475.81633593,2.0,1978,93055.7704451,93055.8025075,1475.81642425
124,115.0, ,2010.0,Waneka / Kelsall,0.35887317,0.14523082, ,OSMP,862.00672827,2.0,1990,15632.4500819,15632.4529345,862.006729704
125,119.0, ,2010.0,Wood Brothers,51.25537864,20.74231582, ,OSMP,8227.80285662,2.0,1974,2232675.31308,2232675.36275,8227.80351512
126,14.0, ,2010.0,BLIP - southwest,0.29076885,0.11766998, ,OSMP,545.56109905,2.0,1973,12665.8432156,12665.8405923,545.561099031
127,1.0, ,2010.0,Abbott,0.81133846,0.32833703, ,OSMP,1957.19378275,2.0,2001,35341.7507683,35341.7619814,1957.1938827
128,123.0, ,2010.0,Bennett,58.50153478,23.67473117, ,OSMP,31179.129696,2.0,2007,2548316.6615,2548316.6616,31179.1298023
129,13.0, ,2010.0,BLIP Boulder Warehouse,34.1474902,13.818999, ,OSMP,20456.3561775,2.0,1973,1487459.13882,1487458.7231,20456.3420434
130,126.0, ,2010.0,Brewbaker,35.42867811,14.33747735, ,OSMP,18661.3630216,2.0,1996,1543267.02941,1543267.04539,18661.3630348
131,25.0, ,2010.0,"Cosslett, Knaus",2.85346279,1.15475542, ,OSMP,3786.30040438,2.0,1990,124296.317027,124296.342099,3786.30040643
132,28.0, ,2010.0,Damyanovich,65.11979283,26.35304519, ,OSMP,20271.6951526,2.0,1995,2836606.82961,2836606.82937,20271.6945798
133,135.0, ,2010.0,Damyanovich,2.95644871,1.19643234, ,OSMP,3227.8448281,2.0,1995,128782.40448,128782.390627,3227.84463382
134,31.0, ,2010.0,Ditzel,10.27854886,4.15958115, ,OSMP,7489.67825574,2.0,1984,447731.781987,447731.79744,7489.6802843
135,35.0, ,2010.0,East Beech - horseshoe,20.81840324,8.42490889, ,OSMP,10379.1963299,2.0,1988,906845.999903,906846.017807,10379.1962372
136,133.0, ,2010.0,Eisenberg,17.04682257,6.89860434, ,OSMP,7755.1526846,2.0,2006,742556.627968,742556.620958,7755.15268524
137,143.0, ,2010.0,ERTL II - North,10.40770151,4.21184737, ,OSMP,5351.77183226,2.0,1984,453357.657714,453357.66442,5351.77183638
138,41.0, ,2010.0,Gallagher,4.75533201,1.92441459, ,OSMP,4214.27775562,2.0,1997,207141.444992,207141.433636,4214.27775949
139,42.0, ,2010.0,Gallucci,60.31599137,24.40901571, ,OSMP,15130.6418885,2.0,1968,2627354.05785,2627354.07478,15130.6425788
140,52.0, ,2010.0,IBM CE,3.54869704,1.43610674, ,OSMP,2945.66780749,2.0,1998,154580.6245,154580.624849,2945.66780916
141,51.0, ,2010.0,IBM,27.2478898,11.02682978, ,OSMP,19029.2782545,2.0,1998,1186913.25744,1186913.33218,19029.2774657
142,54.0, ,2010.0,Jafay,65.65011681,26.56765968, ,OSMP,24444.1601543,2.0,1990,2859707.65347,2859707.64925,24444.1595608
143,62.0, ,2010.0,Klein- Dry Creek,28.82699818,11.66587227, ,OSMP,8836.08207496,2.0,1974,1255698.86963,1255699.01791,8836.08124616
144,63.0, ,2010.0,Klein - south,1.01825456,0.412073, ,OSMP,1459.80180538,2.0,1991,44354.9962184,44354.9913258,1459.80184526
145,64.0, ,2010.0,Kolb I,1.70800711,0.69120596, ,OSMP,2193.31029778,2.0,1985,74400.495937,74400.4923242,2193.31029788
146,144.0, ,2010.0,Marble,4.41990118,1.78867055, ,OSMP,3820.49426621,2.0,1991,192530.126418,192530.125121,3820.49422354
147,68.0, ,2010.0,Marshall,50.37840396,20.38741676, ,OSMP,11411.9533804,2.0,1997,2194474.49505,2194474.49879,11411.9537894
148,73.0,"Split polys from Stepanek, Canino, Cito",2010.0,Minnetrista,6.45258914,2.61127018, ,OSMP,4844.82949918,2.0,1985,281073.645051,281073.658761,4844.82950143
149,23.0, ,2010.0,"Canino, Lanocito, Richardson",12.93271403,5.23368368, ,OSMP,8593.75112971,2.0,1979,563346.766182,563346.769641,8593.7511308
150,82.0, ,2010.0,Rolling Rock,4.35280763,1.76151875, ,OSMP,5716.0343915,2.0,1968,189607.552139,189607.542039,5716.03110295
151,72.0, ,2010.0,Mesa Sand & Gravel,1.0121225,0.40959144, ,OSMP,1434.46157295,2.0,1985,44087.8802545,44087.8797708,1434.46157312
152,88.0, ,2010.0,Schneider - east,14.22465066,5.75651189, ,OSMP,8555.70271144,2.0,2006,619623.314928,619623.304185,8555.70275516
153,92.0, ,2010.0,Stanger,38.88252433,15.73519933, ,OSMP,14733.6167504,2.0,2000,1693715.99084,1693715.98502,14733.6165502
154,145.0,Split polys from Minnetrista,2010.0,"Stepanek, Canino, Cito",7.18037586,2.90579502, ,OSMP,6657.87492863,2.0,1995,312775.838505,312775.921211,6657.87391562
155,108.0, ,2010.0,Ute,59.67826262,24.15093604, ,OSMP,17079.3329309,2.0,1995,2599574.67164,2599574.72144,17079.3337815
156,137.0, ,2010.0,Van Vleet - northeast,4.61139232,1.86616426, ,OSMP,3731.55764292,2.0,1978,200871.423658,200871.446113,3731.55764395
157,114.0, ,2010.0,Varra - east,8.64514521,3.49856614, ,OSMP,6648.01961553,2.0,1986,376581.016749,376581.019029,6648.01957267
158,109.0, ,2010.0,Valmont Butte - east,0.35331576,0.14298182, ,OSMP,1105.69608595,2.0,2000,15390.378165,15390.3729985,1105.69623186
159,99.0, ,2010.0,Superior Associates Mayhoffer,1.09856418,0.44457315, ,OSMP,1556.07738437,2.0,1993,47853.2800069,47853.2642429,1556.07750263
160,136.0, ,2010.0,Sams Lane/Van Vleet - west,7.78729026,3.15140456, ,OSMP,5733.10160516,2.0,1978,339213.02959,339213.006882,5733.10160692
161,69.0, ,2010.0,McKenzie - north,6.8683368,2.77951729, ,OSMP,3986.25471697,2.0,1974,299183.565371,299183.554285,3986.25480896
162,101.0, ,2010.0,Superior Associates - Kelsal,0.34717039,0.14049487, ,OSMP,813.20633005,2.0,1993,15122.6847642,15122.6817851,813.206330451
163,61.0, ,2010.0,Johnson - north,7.77011605,3.1444544, ,OSMP,4738.16481045,2.0,2000,338464.880605,338464.901127,4738.16415444
164,60.0, ,2010.0,Johnson - Monarch,8.70921126,3.52449275, ,OSMP,5957.92177463,2.0,1992,379371.726572,379371.725147,5957.92177925
165,59.0, ,2010.0,Johnson - Bldr Res South,28.81592044,11.66138927, ,OSMP,12681.269689,2.0,1992,1255216.48117,1255216.47328,12681.2691535
166,17.0, ,2010.0,BVR 103 Corp - east,1.0469449,0.42368357, ,OSMP,1296.7026595,2.0,1973,45604.3599153,45604.7373054,1296.70341794
167,21.0, ,2010.0,BVR 103 Corp - north,34.42225172,13.93019105, ,OSMP,12737.6500899,2.0,1973,1499427.26591,1499427.28726,12737.6521045
168,19.0, ,2010.0,BVR 103 Corp - south,9.49601614,3.84290139, ,OSMP,7070.90507862,2.0,1973,413644.873647,413644.808416,7070.90525319
169,12.0, ,2010.0,"BLIP, East Beech - south",55.37485018,22.40940681, ,OSMP,20727.1955027,2.0,1973,2412118.80218,2412118.8255,20727.1930911
170,11.0, ,2010.0,Belgrove - south,1.49666356,0.60567826, ,OSMP,1976.43840178,2.0,1980,65194.3844864,65194.4040987,1976.43841458
171,10.0, ,2010.0,Belgrove - north,19.31436689,7.81624697, ,OSMP,6448.96657422,2.0,1980,841330.460841,841330.456518,6448.96657526
172,110.0, ,2010.0,Valmont Butte - west,2.60808779,1.05545568, ,OSMP,1829.68674659,2.0,2000,113607.938454,113607.849778,1829.68624578
173,107.0, ,2010.0,Teller Farms - south,0.3401295,0.13764552, ,OSMP,497.46629727,2.0,1984,14815.9802443,14815.9816913,497.466306158
174,105.0, ,2010.0,Teller Farms - north,1.76155523,0.71287611, ,OSMP,1455.39112422,2.0,1984,76733.0406418,76733.0388248,1455.39098364
175,70.0, ,2010.0,McKenzie - south,19.8669975,8.03988864, ,OSMP,7395.2206635,2.0,1974,865402.907022,865402.949339,7395.22068368
176,140.0, ,2010.0,Jewel Mountain - south,4.5944548,1.85930989, ,OSMP,3449.04870397,2.0,1999,200133.615815,200133.650743,3449.04870458
177,120.0, ,2010.0,Yunker - east,0.87775737,0.3552158, ,OSMP,1302.31765782,2.0,1977,38234.7658549,38234.9580118,1302.31765963
178,36.0, ,2010.0,East Rudd - north,6.22579572,2.51949014, ,OSMP,2787.31252948,2.0,1975,271194.576541,271194.576773,2787.31252975
179,37.0, ,2010.0,East Rudd - south,2.93565649,1.18801803, ,OSMP,1905.9873805,2.0,1975,127876.701405,127876.685065,1905.98738129
180,87.0, ,2010.0,Sams Lane / Van Vleet - east,9.30901646,3.7672253, ,OSMP,4310.29351934,2.0,1978,405499.136233,405499.134934,4310.29354502
181,46.0, ,2010.0,Hartnagle,3.51870531,1.42396952, ,OSMP,2918.34034027,2.0,1997,153274.188029,153274.18999,2918.34034087
182,122.0, ,2010.0,Waldorf,17.84794874,7.2228086, ,OSMP,11177.6386722,2.0,2002,777453.718213,777453.537273,11177.6359355
183,139.0, ,2010.0,NIST,7.21634166,2.92034986, ,OSMP,3962.63859743,2.0,1994,314342.738317,314342.585313,3962.63286445
184,2.0, ,2010.0,Andrus - north,10.10930642,4.09109116, ,OSMP,5920.09319759,2.0,1977,440359.664177,440359.626375,5920.0931997
185,15.0, ,2010.0,"Axelson, BVR, Lore, Ellison",95.62080164,38.69636552, ,OSMP,61277.4589292,2.0,1990,4165225.56912,4165225.45855,61277.4586586
